fn,bbox
000000.jpg,0 97 53 187 168 0 224 72
000001.jpg,54 166 144 224
000002.jpg,156 141 224 224 15 168 105 224
000003.jpg,120 59 210 149 19 90 109 180
000004.jpg,81 121 171 211 165 67 224 157 7 0 97 77
000005.jpg,48 113 138 203
000006.jpg,0 33 46 123
000007.jpg,0 0 63 77
000008.jpg,48 107 138 197
000009.jpg,0 171 71 224 42 40 132 130
000010.jpg,62 147 152 224 30 6 120 96
000011.jpg,31 129 121 219 21 0 111 67 0 22 54 112
000012.jpg,131 58 221 148 117 4 207 94 58 12 148 102 0 28 77 118
000013.jpg,119 1 209 91 56 106 146 196 0 138 63 224
000014.jpg,0 44 76 134 91 21 181 111
000015.jpg,82 137 172 224 154 157 224 224
000016.jpg,82 102 172 192
000017.jpg,158 0 224 52
000018.jpg,107 138 197 224
000019.jpg,116 50 206 140 0 69 86 159
000020.jpg,5 105 95 195 101 89 191 179 69 0 159 47 0 0 83 54
000021.jpg,60 144 150 224 17 62 107 152
000022.jpg,68 95 158 185 147 0 224 54
000023.jpg,80 161 170 224
000024.jpg,126 115 216 205 0 63 77 153
000025.jpg,83 101 173 191 102 0 192 49 0 0 51 67
000026.jpg,141 134 224 224 52 125 142 215 131 31 221 121
000027.jpg,77 149 167 224
000028.jpg,75 25 165 115 13 0 103 52 0 0 50 68
000029.jpg,0 143 65 224 18 124 108 214 90 119 180 209
000030.jpg,118 107 208 197 12 144 102 224
000031.jpg,174 13 224 103 176 102 224 192 76 121 166 211
000032.jpg,66 137 156 224 157 131 224 221
000033.jpg,166 140 224 224 113 163 203 224 42 145 132 224
000034.jpg,158 0 224 70 112 0 202 63 140 127 224 217 52 144 142 224
000035.jpg,167 47 224 137 49 3 139 93 20 129 110 219
000036.jpg,133 0 223 50 8 0 98 55
000037.jpg,0 178 58 224
000038.jpg,0 140 62 224 0 37 50 127
000039.jpg,146 139 224 224 0 144 85 224 0 161 54 224
000040.jpg,0 14 65 104
000041.jpg,29 102 119 192
000042.jpg,173 163 224 224
000043.jpg,0 60 51 150 19 41 109 131 95 66 185 156 166 102 224 192 128 0 218 47
000044.jpg,0 126 62 216 80 80 170 170 135 36 224 126 147 168 224 224
000045.jpg,130 64 220 154 18 90 108 180
000046.jpg,11 115 101 205 71 82 161 172 130 80 220 170
000047.jpg,164 43 224 133 62 91 152 181 0 105 78 195
000048.jpg,27 135 117 224 70 115 160 205 0 38 73 128 125 54 215 144
000049.jpg,134 0 224 83 157 73 224 163 84 133 174 223 9 58 99 148 0 0 88 68
000050.jpg,172 93 224 183 135 11 224 101 0 129 57 219
000051.jpg,132 0 222 88 0 0 55 82
000052.jpg,22 19 112 109
000053.jpg,0 144 89 224
000054.jpg,29 115 119 205 118 87 208 177
000055.jpg,82 89 172 179 175 80 224 170 0 149 54 224
000056.jpg,109 145 199 224 95 8 185 98 173 2 224 92
000057.jpg,128 43 218 133
000058.jpg,166 150 224 224 115 62 205 152
000059.jpg,42 169 132 224 120 176 210 224
000060.jpg,27 104 117 194 8 52 98 142 0 4 52 94
